key_word,standard,reserved,function_or_type
ABORT,PostgreSQL,FALSE,NA
ABSOLUTE,PostgreSQL,FALSE,NA
ACCESS,PostgreSQL,FALSE,NA
ACTION,PostgreSQL,FALSE,NA
ADD,PostgreSQL,FALSE,NA
ADMIN,PostgreSQL,FALSE,NA
AFTER,PostgreSQL,FALSE,NA
AGGREGATE,PostgreSQL,FALSE,NA
ALL,PostgreSQL,TRUE,NA
ALSO,PostgreSQL,FALSE,NA
ALTER,PostgreSQL,FALSE,NA
ALWAYS,PostgreSQL,FALSE,NA
ANALYSE,PostgreSQL,TRUE,NA
ANALYZE,PostgreSQL,TRUE,NA
AND,PostgreSQL,TRUE,NA
ANY,PostgreSQL,TRUE,NA
ARRAY,PostgreSQL,TRUE,NA
AS,PostgreSQL,TRUE,NA
ASC,PostgreSQL,TRUE,NA
ASSERTION,PostgreSQL,FALSE,NA
ASSIGNMENT,PostgreSQL,FALSE,NA
ASYMMETRIC,PostgreSQL,TRUE,NA
AT,PostgreSQL,FALSE,NA
ATTACH,PostgreSQL,FALSE,NA
ATTRIBUTE,PostgreSQL,FALSE,NA
AUTHORIZATION,PostgreSQL,TRUE,TRUE
BACKWARD,PostgreSQL,FALSE,NA
BEFORE,PostgreSQL,FALSE,NA
BEGIN,PostgreSQL,FALSE,NA
BETWEEN,PostgreSQL,FALSE,FALSE
BIGINT,PostgreSQL,FALSE,FALSE
BINARY,PostgreSQL,TRUE,TRUE
BIT,PostgreSQL,FALSE,FALSE
BOOLEAN,PostgreSQL,FALSE,FALSE
BOTH,PostgreSQL,TRUE,NA
BY,PostgreSQL,FALSE,NA
CACHE,PostgreSQL,FALSE,NA
CALL,PostgreSQL,FALSE,NA
CALLED,PostgreSQL,FALSE,NA
CASCADE,PostgreSQL,FALSE,NA
CASCADED,PostgreSQL,FALSE,NA
CASE,PostgreSQL,TRUE,NA
CAST,PostgreSQL,TRUE,NA
CATALOG,PostgreSQL,FALSE,NA
CHAIN,PostgreSQL,FALSE,NA
CHAR,PostgreSQL,FALSE,FALSE
CHARACTER,PostgreSQL,FALSE,FALSE
CHARACTERISTICS,PostgreSQL,FALSE,NA
CHECK,PostgreSQL,TRUE,NA
CHECKPOINT,PostgreSQL,FALSE,NA
CLASS,PostgreSQL,FALSE,NA
CLOSE,PostgreSQL,FALSE,NA
CLUSTER,PostgreSQL,FALSE,NA
COALESCE,PostgreSQL,FALSE,FALSE
COLLATE,PostgreSQL,TRUE,NA
COLLATION,PostgreSQL,TRUE,TRUE
COLUMN,PostgreSQL,TRUE,NA
COLUMNS,PostgreSQL,FALSE,NA
COMMENT,PostgreSQL,FALSE,NA
COMMENTS,PostgreSQL,FALSE,NA
COMMIT,PostgreSQL,FALSE,NA
COMMITTED,PostgreSQL,FALSE,NA
CONCURRENTLY,PostgreSQL,TRUE,TRUE
CONFIGURATION,PostgreSQL,FALSE,NA
CONFLICT,PostgreSQL,FALSE,NA
CONNECTION,PostgreSQL,FALSE,NA
CONSTRAINT,PostgreSQL,TRUE,NA
CONSTRAINTS,PostgreSQL,FALSE,NA
CONTENT,PostgreSQL,FALSE,NA
CONTINUE,PostgreSQL,FALSE,NA
CONVERSION,PostgreSQL,FALSE,NA
COPY,PostgreSQL,FALSE,NA
COST,PostgreSQL,FALSE,NA
CREATE,PostgreSQL,TRUE,NA
CROSS,PostgreSQL,TRUE,TRUE
CSV,PostgreSQL,FALSE,NA
CUBE,PostgreSQL,FALSE,NA
CURRENT,PostgreSQL,FALSE,NA
CURRENT_CATALOG,PostgreSQL,TRUE,NA
CURRENT_DATE,PostgreSQL,TRUE,NA
CURRENT_ROLE,PostgreSQL,TRUE,NA
CURRENT_SCHEMA,PostgreSQL,TRUE,TRUE
CURRENT_TIME,PostgreSQL,TRUE,NA
CURRENT_TIMESTAMP,PostgreSQL,TRUE,NA
CURRENT_USER,PostgreSQL,TRUE,NA
CURSOR,PostgreSQL,FALSE,NA
CYCLE,PostgreSQL,FALSE,NA
DATA,PostgreSQL,FALSE,NA
DATABASE,PostgreSQL,FALSE,NA
DAY,PostgreSQL,FALSE,NA
DEALLOCATE,PostgreSQL,FALSE,NA
DEC,PostgreSQL,FALSE,FALSE
DECIMAL,PostgreSQL,FALSE,FALSE
DECLARE,PostgreSQL,FALSE,NA
DEFAULT,PostgreSQL,TRUE,NA
DEFAULTS,PostgreSQL,FALSE,NA
DEFERRABLE,PostgreSQL,TRUE,NA
DEFERRED,PostgreSQL,FALSE,NA
DEFINER,PostgreSQL,FALSE,NA
DELETE,PostgreSQL,FALSE,NA
DELIMITER,PostgreSQL,FALSE,NA
DELIMITERS,PostgreSQL,FALSE,NA
DEPENDS,PostgreSQL,FALSE,NA
DESC,PostgreSQL,TRUE,NA
DETACH,PostgreSQL,FALSE,NA
DICTIONARY,PostgreSQL,FALSE,NA
DISABLE,PostgreSQL,FALSE,NA
DISCARD,PostgreSQL,FALSE,NA
DISTINCT,PostgreSQL,TRUE,NA
DO,PostgreSQL,TRUE,NA
DOCUMENT,PostgreSQL,FALSE,NA
DOMAIN,PostgreSQL,FALSE,NA
DOUBLE,PostgreSQL,FALSE,NA
DROP,PostgreSQL,FALSE,NA
EACH,PostgreSQL,FALSE,NA
ELSE,PostgreSQL,TRUE,NA
ENABLE,PostgreSQL,FALSE,NA
ENCODING,PostgreSQL,FALSE,NA
ENCRYPTED,PostgreSQL,FALSE,NA
END,PostgreSQL,TRUE,NA
ENUM,PostgreSQL,FALSE,NA
ESCAPE,PostgreSQL,FALSE,NA
EVENT,PostgreSQL,FALSE,NA
EXCEPT,PostgreSQL,TRUE,NA
EXCLUDE,PostgreSQL,FALSE,NA
EXCLUDING,PostgreSQL,FALSE,NA
EXCLUSIVE,PostgreSQL,FALSE,NA
EXECUTE,PostgreSQL,FALSE,NA
EXISTS,PostgreSQL,FALSE,FALSE
EXPLAIN,PostgreSQL,FALSE,NA
EXPRESSION,PostgreSQL,FALSE,NA
EXTENSION,PostgreSQL,FALSE,NA
EXTERNAL,PostgreSQL,FALSE,NA
EXTRACT,PostgreSQL,FALSE,FALSE
FALSE,PostgreSQL,TRUE,NA
FAMILY,PostgreSQL,FALSE,NA
FETCH,PostgreSQL,TRUE,NA
FILTER,PostgreSQL,FALSE,NA
FIRST,PostgreSQL,FALSE,NA
FLOAT,PostgreSQL,FALSE,FALSE
FOLLOWING,PostgreSQL,FALSE,NA
FOR,PostgreSQL,TRUE,NA
FORCE,PostgreSQL,FALSE,NA
FOREIGN,PostgreSQL,TRUE,NA
FORWARD,PostgreSQL,FALSE,NA
FREEZE,PostgreSQL,TRUE,TRUE
FROM,PostgreSQL,TRUE,NA
FULL,PostgreSQL,TRUE,TRUE
FUNCTION,PostgreSQL,FALSE,NA
FUNCTIONS,PostgreSQL,FALSE,NA
GENERATED,PostgreSQL,FALSE,NA
GLOBAL,PostgreSQL,FALSE,NA
GRANT,PostgreSQL,TRUE,NA
GRANTED,PostgreSQL,FALSE,NA
GREATEST,PostgreSQL,FALSE,FALSE
GROUP,PostgreSQL,TRUE,NA
GROUPING,PostgreSQL,FALSE,FALSE
GROUPS,PostgreSQL,FALSE,NA
HANDLER,PostgreSQL,FALSE,NA
HAVING,PostgreSQL,TRUE,NA
HEADER,PostgreSQL,FALSE,NA
HOLD,PostgreSQL,FALSE,NA
HOUR,PostgreSQL,FALSE,NA
IDENTITY,PostgreSQL,FALSE,NA
IF,PostgreSQL,FALSE,NA
ILIKE,PostgreSQL,TRUE,TRUE
IMMEDIATE,PostgreSQL,FALSE,NA
IMMUTABLE,PostgreSQL,FALSE,NA
IMPLICIT,PostgreSQL,FALSE,NA
IMPORT,PostgreSQL,FALSE,NA
IN,PostgreSQL,TRUE,NA
INCLUDE,PostgreSQL,FALSE,NA
INCLUDING,PostgreSQL,FALSE,NA
INCREMENT,PostgreSQL,FALSE,NA
INDEX,PostgreSQL,FALSE,NA
INDEXES,PostgreSQL,FALSE,NA
INHERIT,PostgreSQL,FALSE,NA
INHERITS,PostgreSQL,FALSE,NA
INITIALLY,PostgreSQL,TRUE,NA
INLINE,PostgreSQL,FALSE,NA
INNER,PostgreSQL,TRUE,TRUE
INOUT,PostgreSQL,FALSE,FALSE
INPUT,PostgreSQL,FALSE,NA
INSENSITIVE,PostgreSQL,FALSE,NA
INSERT,PostgreSQL,FALSE,NA
INSTEAD,PostgreSQL,FALSE,NA
INT,PostgreSQL,FALSE,FALSE
INTEGER,PostgreSQL,FALSE,FALSE
INTERSECT,PostgreSQL,TRUE,NA
INTERVAL,PostgreSQL,FALSE,FALSE
INTO,PostgreSQL,TRUE,NA
INVOKER,PostgreSQL,FALSE,NA
IS,PostgreSQL,TRUE,TRUE
ISNULL,PostgreSQL,TRUE,TRUE
ISOLATION,PostgreSQL,FALSE,NA
JOIN,PostgreSQL,TRUE,TRUE
KEY,PostgreSQL,FALSE,NA
LABEL,PostgreSQL,FALSE,NA
LANGUAGE,PostgreSQL,FALSE,NA
LARGE,PostgreSQL,FALSE,NA
LAST,PostgreSQL,FALSE,NA
LATERAL,PostgreSQL,TRUE,NA
LEADING,PostgreSQL,TRUE,NA
LEAKPROOF,PostgreSQL,FALSE,NA
LEAST,PostgreSQL,FALSE,FALSE
LEFT,PostgreSQL,TRUE,TRUE
LEVEL,PostgreSQL,FALSE,NA
LIKE,PostgreSQL,TRUE,TRUE
LIMIT,PostgreSQL,TRUE,NA
LISTEN,PostgreSQL,FALSE,NA
LOAD,PostgreSQL,FALSE,NA
LOCAL,PostgreSQL,FALSE,NA
LOCALTIME,PostgreSQL,TRUE,NA
LOCALTIMESTAMP,PostgreSQL,TRUE,NA
LOCATION,PostgreSQL,FALSE,NA
LOCK,PostgreSQL,FALSE,NA
LOCKED,PostgreSQL,FALSE,NA
LOGGED,PostgreSQL,FALSE,NA
MAPPING,PostgreSQL,FALSE,NA
MATCH,PostgreSQL,FALSE,NA
MATERIALIZED,PostgreSQL,FALSE,NA
MAXVALUE,PostgreSQL,FALSE,NA
METHOD,PostgreSQL,FALSE,NA
MINUTE,PostgreSQL,FALSE,NA
MINVALUE,PostgreSQL,FALSE,NA
MODE,PostgreSQL,FALSE,NA
MONTH,PostgreSQL,FALSE,NA
MOVE,PostgreSQL,FALSE,NA
NAME,PostgreSQL,FALSE,NA
NAMES,PostgreSQL,FALSE,NA
NATIONAL,PostgreSQL,FALSE,FALSE
NATURAL,PostgreSQL,TRUE,TRUE
NCHAR,PostgreSQL,FALSE,FALSE
NEW,PostgreSQL,FALSE,NA
NEXT,PostgreSQL,FALSE,NA
NFC,PostgreSQL,FALSE,NA
NFD,PostgreSQL,FALSE,NA
NFKC,PostgreSQL,FALSE,NA
NFKD,PostgreSQL,FALSE,NA
NO,PostgreSQL,FALSE,NA
NONE,PostgreSQL,FALSE,FALSE
NORMALIZE,PostgreSQL,FALSE,FALSE
NORMALIZED,PostgreSQL,FALSE,NA
NOT,PostgreSQL,TRUE,NA
NOTHING,PostgreSQL,FALSE,NA
NOTIFY,PostgreSQL,FALSE,NA
NOTNULL,PostgreSQL,TRUE,TRUE
NOWAIT,PostgreSQL,FALSE,NA
NULL,PostgreSQL,TRUE,NA
NULLIF,PostgreSQL,FALSE,FALSE
NULLS,PostgreSQL,FALSE,NA
NUMERIC,PostgreSQL,FALSE,FALSE
OBJECT,PostgreSQL,FALSE,NA
OF,PostgreSQL,FALSE,NA
OFF,PostgreSQL,FALSE,NA
OFFSET,PostgreSQL,TRUE,NA
OIDS,PostgreSQL,FALSE,NA
OLD,PostgreSQL,FALSE,NA
ON,PostgreSQL,TRUE,NA
ONLY,PostgreSQL,TRUE,NA
OPERATOR,PostgreSQL,FALSE,NA
OPTION,PostgreSQL,FALSE,NA
OPTIONS,PostgreSQL,FALSE,NA
OR,PostgreSQL,TRUE,NA
ORDER,PostgreSQL,TRUE,NA
ORDINALITY,PostgreSQL,FALSE,NA
OTHERS,PostgreSQL,FALSE,NA
OUT,PostgreSQL,FALSE,FALSE
OUTER,PostgreSQL,TRUE,TRUE
OVER,PostgreSQL,FALSE,NA
OVERLAPS,PostgreSQL,TRUE,TRUE
OVERLAY,PostgreSQL,FALSE,FALSE
OVERRIDING,PostgreSQL,FALSE,NA
OWNED,PostgreSQL,FALSE,NA
OWNER,PostgreSQL,FALSE,NA
PARALLEL,PostgreSQL,FALSE,NA
PARSER,PostgreSQL,FALSE,NA
PARTIAL,PostgreSQL,FALSE,NA
PARTITION,PostgreSQL,FALSE,NA
PASSING,PostgreSQL,FALSE,NA
PASSWORD,PostgreSQL,FALSE,NA
PLACING,PostgreSQL,TRUE,NA
PLANS,PostgreSQL,FALSE,NA
POLICY,PostgreSQL,FALSE,NA
POSITION,PostgreSQL,FALSE,FALSE
PRECEDING,PostgreSQL,FALSE,NA
PRECISION,PostgreSQL,FALSE,FALSE
PREPARE,PostgreSQL,FALSE,NA
PREPARED,PostgreSQL,FALSE,NA
PRESERVE,PostgreSQL,FALSE,NA
PRIMARY,PostgreSQL,TRUE,NA
PRIOR,PostgreSQL,FALSE,NA
PRIVILEGES,PostgreSQL,FALSE,NA
PROCEDURAL,PostgreSQL,FALSE,NA
PROCEDURE,PostgreSQL,FALSE,NA
PROCEDURES,PostgreSQL,FALSE,NA
PROGRAM,PostgreSQL,FALSE,NA
PUBLICATION,PostgreSQL,FALSE,NA
QUOTE,PostgreSQL,FALSE,NA
RANGE,PostgreSQL,FALSE,NA
READ,PostgreSQL,FALSE,NA
REAL,PostgreSQL,FALSE,FALSE
REASSIGN,PostgreSQL,FALSE,NA
RECHECK,PostgreSQL,FALSE,NA
RECURSIVE,PostgreSQL,FALSE,NA
REF,PostgreSQL,FALSE,NA
REFERENCES,PostgreSQL,TRUE,NA
REFERENCING,PostgreSQL,FALSE,NA
REFRESH,PostgreSQL,FALSE,NA
REINDEX,PostgreSQL,FALSE,NA
RELATIVE,PostgreSQL,FALSE,NA
RELEASE,PostgreSQL,FALSE,NA
RENAME,PostgreSQL,FALSE,NA
REPEATABLE,PostgreSQL,FALSE,NA
REPLACE,PostgreSQL,FALSE,NA
REPLICA,PostgreSQL,FALSE,NA
RESET,PostgreSQL,FALSE,NA
RESTART,PostgreSQL,FALSE,NA
RESTRICT,PostgreSQL,FALSE,NA
RETURNING,PostgreSQL,TRUE,NA
RETURNS,PostgreSQL,FALSE,NA
REVOKE,PostgreSQL,FALSE,NA
RIGHT,PostgreSQL,TRUE,TRUE
ROLE,PostgreSQL,FALSE,NA
ROLLBACK,PostgreSQL,FALSE,NA
ROLLUP,PostgreSQL,FALSE,NA
ROUTINE,PostgreSQL,FALSE,NA
ROUTINES,PostgreSQL,FALSE,NA
ROW,PostgreSQL,FALSE,FALSE
ROWS,PostgreSQL,FALSE,NA
RULE,PostgreSQL,FALSE,NA
SAVEPOINT,PostgreSQL,FALSE,NA
SCHEMA,PostgreSQL,FALSE,NA
SCHEMAS,PostgreSQL,FALSE,NA
SCROLL,PostgreSQL,FALSE,NA
SEARCH,PostgreSQL,FALSE,NA
SECOND,PostgreSQL,FALSE,NA
SECURITY,PostgreSQL,FALSE,NA
SELECT,PostgreSQL,TRUE,NA
SEQUENCE,PostgreSQL,FALSE,NA
SEQUENCES,PostgreSQL,FALSE,NA
SERIALIZABLE,PostgreSQL,FALSE,NA
SERVER,PostgreSQL,FALSE,NA
SESSION,PostgreSQL,FALSE,NA
SESSION_USER,PostgreSQL,TRUE,NA
SET,PostgreSQL,FALSE,NA
SETOF,PostgreSQL,FALSE,FALSE
SETS,PostgreSQL,FALSE,NA
SHARE,PostgreSQL,FALSE,NA
SHOW,PostgreSQL,FALSE,NA
SIMILAR,PostgreSQL,TRUE,TRUE
SIMPLE,PostgreSQL,FALSE,NA
SKIP,PostgreSQL,FALSE,NA
SMALLINT,PostgreSQL,FALSE,FALSE
SNAPSHOT,PostgreSQL,FALSE,NA
SOME,PostgreSQL,TRUE,NA
SQL,PostgreSQL,FALSE,NA
STABLE,PostgreSQL,FALSE,NA
STANDALONE,PostgreSQL,FALSE,NA
START,PostgreSQL,FALSE,NA
STATEMENT,PostgreSQL,FALSE,NA
STATISTICS,PostgreSQL,FALSE,NA
STDIN,PostgreSQL,FALSE,NA
STDOUT,PostgreSQL,FALSE,NA
STORAGE,PostgreSQL,FALSE,NA
STORED,PostgreSQL,FALSE,NA
STRICT,PostgreSQL,FALSE,NA
STRIP,PostgreSQL,FALSE,NA
SUBSCRIPTION,PostgreSQL,FALSE,NA
SUBSTRING,PostgreSQL,FALSE,FALSE
SUPPORT,PostgreSQL,FALSE,NA
SYMMETRIC,PostgreSQL,TRUE,NA
SYSID,PostgreSQL,FALSE,NA
SYSTEM,PostgreSQL,FALSE,NA
TABLE,PostgreSQL,TRUE,NA
TABLES,PostgreSQL,FALSE,NA
TABLESAMPLE,PostgreSQL,TRUE,TRUE
TABLESPACE,PostgreSQL,FALSE,NA
TEMP,PostgreSQL,FALSE,NA
TEMPLATE,PostgreSQL,FALSE,NA
TEMPORARY,PostgreSQL,FALSE,NA
TEXT,PostgreSQL,FALSE,NA
THEN,PostgreSQL,TRUE,NA
TIES,PostgreSQL,FALSE,NA
TIME,PostgreSQL,FALSE,FALSE
TIMESTAMP,PostgreSQL,FALSE,FALSE
TO,PostgreSQL,TRUE,NA
TRAILING,PostgreSQL,TRUE,NA
TRANSACTION,PostgreSQL,FALSE,NA
TRANSFORM,PostgreSQL,FALSE,NA
TREAT,PostgreSQL,FALSE,FALSE
TRIGGER,PostgreSQL,FALSE,NA
TRIM,PostgreSQL,FALSE,FALSE
TRUE,PostgreSQL,TRUE,NA
TRUNCATE,PostgreSQL,FALSE,NA
TRUSTED,PostgreSQL,FALSE,NA
TYPE,PostgreSQL,FALSE,NA
TYPES,PostgreSQL,FALSE,NA
UESCAPE,PostgreSQL,FALSE,NA
UNBOUNDED,PostgreSQL,FALSE,NA
UNCOMMITTED,PostgreSQL,FALSE,NA
UNENCRYPTED,PostgreSQL,FALSE,NA
UNION,PostgreSQL,TRUE,NA
UNIQUE,PostgreSQL,TRUE,NA
UNKNOWN,PostgreSQL,FALSE,NA
UNLISTEN,PostgreSQL,FALSE,NA
UNLOGGED,PostgreSQL,FALSE,NA
UNTIL,PostgreSQL,FALSE,NA
UPDATE,PostgreSQL,FALSE,NA
USER,PostgreSQL,TRUE,NA
USING,PostgreSQL,TRUE,NA
VACUUM,PostgreSQL,FALSE,NA
VALID,PostgreSQL,FALSE,NA
VALIDATE,PostgreSQL,FALSE,NA
VALIDATOR,PostgreSQL,FALSE,NA
VALUE,PostgreSQL,FALSE,NA
VALUES,PostgreSQL,FALSE,FALSE
VARCHAR,PostgreSQL,FALSE,FALSE
VARIADIC,PostgreSQL,TRUE,NA
VARYING,PostgreSQL,FALSE,NA
VERBOSE,PostgreSQL,TRUE,TRUE
VERSION,PostgreSQL,FALSE,NA
VIEW,PostgreSQL,FALSE,NA
VIEWS,PostgreSQL,FALSE,NA
VOLATILE,PostgreSQL,FALSE,NA
WHEN,PostgreSQL,TRUE,NA
WHERE,PostgreSQL,TRUE,NA
WHITESPACE,PostgreSQL,FALSE,NA
WINDOW,PostgreSQL,TRUE,NA
WITH,PostgreSQL,TRUE,NA
WITHIN,PostgreSQL,FALSE,NA
WITHOUT,PostgreSQL,FALSE,NA
WORK,PostgreSQL,FALSE,NA
WRAPPER,PostgreSQL,FALSE,NA
WRITE,PostgreSQL,FALSE,NA
XML,PostgreSQL,FALSE,NA
XMLATTRIBUTES,PostgreSQL,FALSE,FALSE
XMLCONCAT,PostgreSQL,FALSE,FALSE
XMLELEMENT,PostgreSQL,FALSE,FALSE
XMLEXISTS,PostgreSQL,FALSE,FALSE
XMLFOREST,PostgreSQL,FALSE,FALSE
XMLNAMESPACES,PostgreSQL,FALSE,FALSE
XMLPARSE,PostgreSQL,FALSE,FALSE
XMLPI,PostgreSQL,FALSE,FALSE
XMLROOT,PostgreSQL,FALSE,FALSE
XMLSERIALIZE,PostgreSQL,FALSE,FALSE
XMLTABLE,PostgreSQL,FALSE,FALSE
YEAR,PostgreSQL,FALSE,NA
YES,PostgreSQL,FALSE,NA
ZONE,PostgreSQL,FALSE,NA
